benchmark,tier,method,seed,instance_id,eval_mode,solved,steps,optimal_steps,rollouts_to_solve,final_entropy,provenance
rush_hour,d12,mlp,0,d12_p9,stochastic,1,19.2,12,,,trusted
rush_hour,d12,cnn,0,d12_p9,greedy,1,19.0,12,,,trusted
rush_hour,d12,cnn,0,d12_p9,stochastic,1,19.0,12,,,trusted
rush_hour,d12,hrep,0,d12_p10,greedy,1,28.0,12,,,trusted
rush_hour,d12,hrep,0,d12_p10,stochastic,1,28.2,12,,,trusted
rush_hour,d12,vrep,0,d12_p10,greedy,1,23.0,12,,,trusted
rush_hour,d12,vrep,0,d12_p10,stochastic,1,23.1,12,,,trusted
rush_hour,d12,gnn,0,d12_p10,greedy,0,,12,,,trusted
rush_hour,d12,gnn,0,d12_p10,stochastic,0,,12,,,trusted
rush_hour,d12,mlp,0,d12_p10,greedy,1,27.0,12,,,trusted
rush_hour,d12,mlp,0,d12_p10,stochastic,1,27.7,12,,,trusted
rush_hour,d12,cnn,0,d12_p10,greedy,1,20.0,12,,,trusted
rush_hour,d12,cnn,0,d12_p10,stochastic,1,20.0,12,,,trusted
rush_hour,d12,hrep,0,d12_p11,greedy,0,,12,,,trusted
rush_hour,d12,hrep,0,d12_p11,stochastic,0,,12,,,trusted
rush_hour,d12,vrep,0,d12_p11,greedy,1,21.0,12,,,trusted
rush_hour,d12,vrep,0,d12_p11,stochastic,1,21.0,12,,,trusted
rush_hour,d12,gnn,0,d12_p11,greedy,1,21.0,12,,,trusted
rush_hour,d12,gnn,0,d12_p11,stochastic,1,21.1,12,,,trusted
rush_hour,d12,mlp,0,d12_p11,greedy,1,21.0,12,,,trusted
rush_hour,d12,mlp,0,d12_p11,stochastic,1,21.1,12,,,trusted
rush_hour,d12,cnn,0,d12_p11,greedy,1,23.0,12,,,trusted
rush_hour,d12,cnn,0,d12_p11,stochastic,1,23.2,12,,,trusted
rush_hour,d12,hrep,0,d12_p12,greedy,1,17.0,12,,,trusted
rush_hour,d12,hrep,0,d12_p12,stochastic,1,17.1,12,,,trusted
rush_hour,d12,vrep,0,d12_p12,greedy,1,17.0,12,,,trusted
rush_hour,d12,vrep,0,d12_p12,stochastic,1,17.1,12,,,trusted
rush_hour,d12,gnn,0,d12_p12,greedy,1,17.0,12,,,trusted
rush_hour,d12,gnn,0,d12_p12,stochastic,1,17.1,12,,,trusted
rush_hour,d12,mlp,0,d12_p12,greedy,1,17.0,12,,,trusted
rush_hour,d12,mlp,0,d12_p12,stochastic,1,17.0,12,,,trusted
rush_hour,d12,cnn,0,d12_p12,greedy,1,17.0,12,,,trusted
rush_hour,d12,cnn,0,d12_p12,stochastic,1,17.1,12,,,trusted
rush_hour,d12,hrep,0,d12_p13,greedy,0,,12,,,trusted
rush_hour,d12,hrep,0,d12_p13,stochastic,0,,12,,,trusted
rush_hour,d12,vrep,0,d12_p13,greedy,1,21.0,12,,,trusted
rush_hour,d12,vrep,0,d12_p13,stochastic,1,21.4,12,,,trusted
rush_hour,d12,gnn,0,d12_p13,greedy,0,,12,,,trusted
rush_hour,d12,gnn,0,d12_p13,stochastic,0,,12,,,trusted
rush_hour,d12,mlp,0,d12_p13,greedy,1,16.0,12,,,trusted
rush_hour,d12,mlp,0,d12_p13,stochastic,1,16.0,12,,,trusted
rush_hour,d12,cnn,0,d12_p13,greedy,1,16.0,12,,,trusted
rush_hour,d12,cnn,0,d12_p13,stochastic,1,16.0,12,,,trusted
rush_hour,d12,hrep,0,d12_p14,greedy,1,7.0,12,,,trusted
rush_hour,d12,hrep,0,d12_p14,stochastic,1,7.2,12,,,trusted
rush_hour,d12,vrep,0,d12_p14,greedy,1,7.0,12,,,trusted
rush_hour,d12,vrep,0,d12_p14,stochastic,1,7.0,12,,,trusted
rush_hour,d12,gnn,0,d12_p14,greedy,1,7.0,12,,,trusted
rush_hour,d12,gnn,0,d12_p14,stochastic,1,7.1,12,,,trusted
rush_hour,d12,mlp,0,d12_p14,greedy,1,7.0,12,,,trusted
rush_hour,d12,mlp,0,d12_p14,stochastic,1,7.1,12,,,trusted
rush_hour,d12,cnn,0,d12_p14,greedy,1,7.0,12,,,trusted
rush_hour,d12,cnn,0,d12_p14,stochastic,1,7.0,12,,,trusted
rush_hour,d15,hrep,0,d15_p0,greedy,0,,15,,,trusted
